Instance,Aircraft,Aircraft to de-ice,CTOTs
11,15,0,6
12,15,1,5
13,25,2,7
14,25,0,0
15,35,3,12
16,35,3,12
17,45,1,0
18,45,1,0
19,55,11,21
20,55,11,21
