Instance,Aircraft,Aircraft to de-ice,CTOTs
21,60,13,20
22,60,14,20
23,60,14,20
24,60,14,20
25,60,14,20
26,60,16,20
27,60,16,20
28,60,22,17
29,60,22,17
30,60,22,17
