Instance, Start, End, De-ice start, De-ice end, Runtime (ms)
1, ..., ..., ..., ..., ...
2, ..., ..., ..., ..., ...
3, ..., ..., ..., ..., ...
4, ..., ..., ..., ..., ...
5, ..., ..., ..., ..., ...
6, ..., ..., ..., ..., ...
7, ..., ..., ..., ..., ...
8, ..., ..., ..., ..., ...
9, ..., ..., ..., ..., ...
10, ..., ..., ..., ..., ...
