Instance, Aircraft, Aircraft to de-ice
21, 55, ...
22, 55, ...
23, 55, ...
24, 55, ...
25, 55, ...
26, 55, ...
27, 55, ...
28, 55, ...
29, 55, ...
30, 55, ...
