Mean runtime (s),Standard deviation (s),Median runtime (s),Median absolute deviation (s)
2.87334,0.001379904,2.875,0.016
0.03002,0.00002814,0.031,2.910383046e-11
0.0465,0.00001345,0.047,2.910383046e-11
2.70342,0.001559924,2.703,0.031
3.04322,0.001246732,3.039,0.023
4.12522,0.002713892,4.125,0.031
4.12184,0.003110614,4.1095,0.0315
4.11934,0.008157864,4.1015,0.0385
4.0953,0.00464773,4.094,0.047
4.11742,0.004513244,4.109,0.047
